X,Y,id,nome,ubicazione,sup/fond,immagine,icon_url
16.929443711162,38.9613401050448,"1",Botricello 1,t,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\botricello1.jpg,./0.png
16.9410398497271,39.304564383322,"2",Campana 1,t,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\campana1.jpg,./0.png
17.1594694993482,38.9670486780115,"3",Capo Cimiti 1,t,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\capocimiti1.jpg,./0.png
17.1572439888603,38.9678737259828,"4",Capo Cimiti 2,t,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\capocimiti2.jpg,./0.png
17.1616847270263,38.9639893033474,"5",Capo Cimiti 3,t,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\capocimiti3.jpg,./0.png
17.1572446761164,38.9564850860799,"6",Capo Cimiti 4,t,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\capocimiti4.jpg,./0.png
17.168628041789,38.9570398731388,"7",Capo Cimiti 5,t,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\capocimiti5.jpg,./0.png
17.1472702604324,38.9609308434504,"8",Capo Cimiti 7,t,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\capocimiti7.jpg,./0.png
17.0056264351368,39.4875079914203,"9",Ciro 4,t,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\ciro4.jpg,./0.png
17.1434094665734,39.3939819892701,"10",Ciro 7,t,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\ciro7.jpg,./0.png
16.9904239370486,39.1177308378498,"11",Crotone 1,t,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\crotone1.jpg,./0.png
17.3040567816898,39.091499447505,"12",Federica 1,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\Federica1.jpg,./0.png
17.3024322612602,39.1399761922805,"13",Fedra 1,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\fedra1.jpg,./0.png
17.2961930154608,39.3763355054254,"14",Filomena 1,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\filomena1.jpg,./0.png
17.2150682073606,39.2592544494008,"15",Fiorenza 1,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\fiorenza1.jpg,./0.png
16.8340656127019,38.7323443058607,"16",Floriana 1,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\floriana1.jpg,./0.png
17.2581539921338,39.1764398565878,"17",Florida 1,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\florida1.jpg,./0.png
17.1965586195575,39.0240194888495,"18",Hera Lacinia 1,t,s,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinia1.jpg,./0.png
17.192795256393,39.0330551344186,"19",Hera Lacinia 2 Dir,m,f,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinia2dir.jpg,./0.png
17.1887971833292,39.0169215103903,"20",Hera Lacinia 3 Dir,m,f,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinia3dir.jpg,./0.png
17.1616955883671,39.0163188754924,"21",Hera Lacinia 6,t,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinia6.jpg,./0.png
17.17724843793,39.0120471337397,"22",Hera Lacinia 8,t,s,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinia8dir.jpg,./0.png
17.1856508063437,39.0133855861676,"23",Hera Lacinia 8 Dir,m,f,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinia8dir.jpg,./0.png
17.1792283928586,39.0058203462998,"24",Hera Lacinia 9 Dir,m,f,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinia9dir.jpg,./0.png
17.1823030695284,39.0183136270769,"25",Hera Lacinia 13 Dir,m,f,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinia13dir.jpg,./0.png
17.1755901051367,39.0306564759036,"26",Hera Lacinia 10,t,s,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinia10dir.jpg,./0.png
17.1825351189535,39.0401221778677,"27",Hera Lacinia 10 Dir,m,f,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinia10dir.jpg,./0.png
17.1649314380666,39.0587674578705,"28",Hera Lacinia 14,m,s,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinia14.jpg,./0.png
